Admitidos.Desligados,Competкncia.Declarada,Municнpio,Ano.Declarado,CBO.2002.Ocupaзгo,CNAE.1.0.Classe,CNAE.2.0.Classe,CNAE.2.0.Subclas,Faixa.Empr.Inнcio.Jan,Grau.Instruзгo,Qtd.Hora.Contrat,IBGE.Subsetor,Idade,Ind.Aprendiz,Ind.Portador.Defic,Raзa.Cor,Salбrio.Mensal,Saldo.Mov,Sexo,Tempo.Emprego,Tipo.Estab,Tipo.Defic,Tipo.Mov.Desagregado,UF,Bairros.SP,Bairros.Fortaleza,Bairros.RJ,Distritos.SP,Regiхes.Adm.DF,Mesorregiгo,Microrregiгo,Regiгo.Adm.RJ,Regiгo.Adm.SP,Regiгo.Corede,Regiгo.Corede.04,Regiгo.Gov.SP,Regiгo.Senac.PR,Regiгo.Senai.PR,Regiгo.Senai.SP,Sub.Regiгo.Senai.PR,Ind.Trab.Parcial,Ind.Trab.Intermitente
1,200701,150420,2007,251110,000-1,24113,00000-1,4,9,44,3,33,0,0,2,2000,1,2,0,1,{с,2,15,0,0,0,0,0,1506,15020,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200701,261160,2007,251110,000-1,94995,00000-1,8,9,44,21,46,0,0,2,1500,1,2,0,1,{с,2,26,0,0,0,0,0,2605,26017,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200701,261160,2007,251110,000-1,94995,00000-1,8,9,44,21,30,0,0,2,1500,1,2,0,1,{с,2,26,0,0,0,0,0,2605,26017,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200701,292530,2007,251110,000-1,94995,00000-1,2,9,44,21,33,0,0,8,2911,1,1,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200701,311860,2007,251110,000-1,49302,00000-1,6,9,44,20,32,0,0,2,1802,-1,2,102,1,{с,4,31,0,0,0,0,0,3107,31030,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200701,353060,2007,251110,000-1,49302,00000-1,9,9,44,20,45,0,0,2,5000,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35062,{с c,13,{с cla,99,1,99,{с cla,29,99,,
2,200701,355030,2007,251110,000-1,45307,00000-1,5,9,44,16,43,0,0,8,2047,-1,1,9,1,{с,4,35,{с c,0,0,33,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
1,200702,351518,2007,251110,000-1,72207,00000-1,1,9,44,21,21,0,1,2,750,1,1,0,1,{с,2,35,9999,0,0,9999,0,3507,35030,{с c,4,{с cla,99,20,99,{с cla,30,99,,
1,200702,351518,2007,251110,000-1,72207,00000-1,1,9,44,21,27,0,1,2,2200,1,1,0,1,{с,2,35,9999,0,0,9999,0,3507,35030,{с c,4,{с cla,99,20,99,{с cla,30,99,,
2,200702,355030,2007,251110,000-1,78205,00000-1,7,9,44,19,29,0,0,2,2500,-1,1,7,1,{с,4,35,248,0,0,32,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
2,200702,351300,2007,251110,000-1,82997,00000-1,2,9,40,19,32,0,0,2,1400,-1,1,9,1,{с,4,35,9999,0,0,9999,0,3515,35060,{с c,13,{с cla,99,1,99,{с cla,31,99,,
1,200702,411150,2007,251110,000-1,86305,8630504,1,9,44,22,21,0,0,2,350,1,2,0,3,{с,1,41,0,0,0,0,0,4103,41013,{с c,999,{с cla,99,999,1,3,999,16,,
2,200702,431490,2007,251110,000-1,71120,00000-1,3,9,44,19,56,0,0,2,580,-1,2,6,1,{с,4,43,0,0,0,0,0,4305,43026,{с c,999,11,12,999,99,{с cla,999,99,,
2,200703,411370,2007,251110,000-1,47822,00000-1,2,9,44,16,19,0,0,2,489,-1,2,3,1,{с,11,41,0,0,0,0,0,4103,41011,{с c,999,{с cla,99,999,12,3,999,13,,
1,200704,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,33,0,0,8,800,1,2,0,1,{с,2,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200704,292530,2007,251110,000-1,94995,00000-1,2,9,44,21,28,0,0,8,2734,1,1,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200704,310620,2007,251110,000-1,78205,00000-1,9,9,40,19,25,0,0,8,2400,1,1,0,1,{с,1,31,0,0,0,0,0,3107,31030,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200704,330455,2007,251110,000-1,71120,00000-1,4,9,44,19,35,0,1,2,2000,1,2,0,1,{с,2,33,0,0,370,0,0,3306,33018,2,999,{с cla,99,999,99,{с cla,999,99,,
1,200704,355030,2007,251110,000-1,47512,00000-1,4,9,44,16,28,0,0,2,1053,1,1,0,1,{с,2,35,248,0,0,32,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
1,200705,292530,2007,251110,000-1,94995,00000-1,2,9,44,21,27,0,0,8,3512,1,1,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200705,353650,2007,251110,000-1,10660,00000-1,6,9,44,13,49,0,0,2,2120,-1,2,14,1,{с,4,35,9999,0,0,9999,0,3507,35032,{с c,4,{с cla,99,15,99,{с cla,32,99,,
1,200705,351060,2007,251110,000-1,72207,00000-1,1,9,44,21,29,0,0,2,3000,1,1,0,1,{с,1,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
1,200705,520140,2007,251110,000-1,62040,00000-1,1,9,44,19,26,0,0,2,3000,1,1,0,1,{с,2,52,0,0,0,0,0,5203,52010,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200706,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,33,0,0,8,800,-1,2,2,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200706,355030,2007,251110,000-1,47512,00000-1,4,9,44,16,35,0,0,2,1399,1,2,0,1,{с,2,35,248,0,0,32,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
1,200706,355030,2007,251110,000-1,47512,00000-1,4,9,44,16,56,0,0,2,1000,1,1,0,1,{с,2,35,248,0,0,32,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
2,200706,355030,2007,251110,000-1,47512,00000-1,4,9,44,16,35,0,0,2,1399,-1,2,0,1,{с,6,35,248,0,0,32,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
1,200706,351060,2007,251110,000-1,72207,00000-1,1,9,44,21,40,0,0,2,2000,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
2,200706,351060,2007,251110,000-1,82997,00000-1,1,9,44,19,30,0,0,2,3600,-1,1,1,1,{с,11,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
2,200707,261110,2007,251110,000-1,81214,00000-1,6,9,44,21,22,0,0,8,453,-1,1,28,1,{с,4,26,0,0,0,0,0,2602,26005,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200707,261110,2007,251110,000-1,81214,00000-1,6,9,44,21,26,0,0,8,453,-1,2,28,1,{с,4,26,0,0,0,0,0,2602,26005,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200707,355030,2007,251110,000-1,55108,00000-1,5,9,44,21,32,0,0,6,2800,-1,1,10,1,{с,6,35,47,0,0,43,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,46,99,,
1,200707,351060,2007,251110,000-1,72207,00000-1,1,9,44,21,30,0,0,2,3600,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
1,200708,261110,2007,251110,000-1,81214,00000-1,6,9,44,21,18,0,0,8,453,1,2,0,1,{с,1,26,0,0,0,0,0,2602,26005,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200708,261110,2007,251110,000-1,81214,00000-1,6,9,44,21,28,0,0,8,453,1,2,0,1,{с,2,26,0,0,0,0,0,2602,26005,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200708,330455,2007,251110,000-1,73114,00000-1,4,9,44,19,37,0,0,2,1068,1,1,0,1,{с,2,33,0,0,400,0,0,3306,33018,5,999,{с cla,99,999,99,{с cla,999,99,,
1,200708,330455,2007,251110,000-1,73114,00000-1,4,9,44,19,39,0,0,2,1068,1,1,0,1,{с,2,33,0,0,400,0,0,3306,33018,5,999,{с cla,99,999,99,{с cla,999,99,,
2,200708,351060,2007,251110,000-1,72207,00000-1,1,9,44,21,29,0,0,2,3000,-1,1,3,1,{с,4,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
2,200708,351060,2007,251110,000-1,72207,00000-1,1,9,44,21,40,0,0,2,2000,-1,1,2,1,{с,11,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
2,200708,353060,2007,251110,000-1,49302,00000-1,9,9,44,20,45,0,0,2,5091,-1,1,7,1,{с,6,35,9999,0,0,9999,0,3515,35062,{с c,13,{с cla,99,1,99,{с cla,29,99,,
1,200708,520140,2007,251110,000-1,62040,00000-1,1,9,44,19,37,0,0,8,1500,1,1,0,1,{с,25,52,0,0,0,0,0,5203,52010,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200709,292530,2007,251110,000-1,94995,00000-1,2,9,44,21,35,0,0,8,4805,1,2,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200709,353060,2007,251110,000-1,49302,00000-1,9,9,44,20,40,0,0,2,12000,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35062,{с c,13,{с cla,99,1,99,{с cla,29,99,,
1,200709,351060,2007,251110,000-1,82997,00000-1,1,9,44,19,40,0,0,2,2000,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
1,200709,351060,2007,251110,000-1,82997,00000-1,1,9,44,19,29,0,0,2,3000,1,1,0,1,{с,1,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
2,200709,411150,2007,251110,000-1,86305,8630504,1,9,44,22,21,0,0,2,380,-1,2,7,3,{с,4,41,0,0,0,0,0,4103,41013,{с c,999,{с cla,99,999,1,3,999,16,,
2,200709,420540,2007,251110,000-1,0,00000-1,7,9,32,23,59,0,0,2,2577,-1,2,133,1,{с,6,42,0,0,0,0,0,4205,42016,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200709,520140,2007,251110,000-1,62040,00000-1,1,9,44,19,37,0,0,8,1500,-1,1,1,1,{с,6,52,0,0,0,0,0,5203,52010,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200710,292530,2007,251110,000-1,94995,00000-1,2,9,44,21,24,0,0,8,818,1,2,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200710,292530,2007,251110,000-1,94995,00000-1,2,9,44,21,24,0,0,8,818,1,2,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200710,330455,2007,251110,000-1,73114,00000-1,4,9,44,19,29,0,0,2,1627,1,2,0,1,{с,2,33,0,0,400,0,0,3306,33018,5,999,{с cla,99,999,99,{с cla,999,99,,
1,200710,330455,2007,251110,000-1,73114,00000-1,4,9,44,19,35,0,0,2,1627,1,2,0,1,{с,2,33,0,0,400,0,0,3306,33018,5,999,{с cla,99,999,99,{с cla,999,99,,
2,200710,330455,2007,251110,000-1,73114,00000-1,4,9,44,19,26,0,0,8,1627,-1,2,62,1,{с,6,33,0,0,400,0,0,3306,33018,5,999,{с cla,99,999,99,{с cla,999,99,,
1,200710,351060,2007,251110,000-1,82997,00000-1,1,9,44,19,26,0,0,2,3000,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
1,200710,351060,2007,251110,000-1,82997,00000-1,1,9,44,19,25,0,0,2,3000,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
1,200710,520140,2007,251110,000-1,62040,00000-1,1,9,44,19,42,0,0,8,1500,1,2,0,1,{с,2,52,0,0,0,0,0,5203,52010,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200711,261160,2007,251110,000-1,94995,00000-1,8,9,44,21,34,0,0,8,1500,1,1,0,1,{с,2,26,0,0,0,0,0,2605,26017,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200711,261160,2007,251110,000-1,94995,00000-1,8,9,44,21,23,0,0,2,1500,1,2,0,1,{с,1,26,0,0,0,0,0,2605,26017,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200711,261160,2007,251110,000-1,94995,00000-1,8,9,44,21,23,0,0,2,1500,1,2,0,1,{с,1,26,0,0,0,0,0,2605,26017,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200711,314390,2007,251110,000-1,85325,00000-1,6,9,44,23,41,0,0,2,2174,1,1,0,1,{с,2,31,0,0,0,0,0,3112,31063,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200711,431490,2007,251110,000-1,42111,00000-1,4,9,44,15,24,0,0,2,600,1,1,0,1,{с,2,43,0,0,0,0,0,4305,43026,{с c,999,11,12,999,99,{с cla,999,99,,
1,200711,431490,2007,251110,000-1,42111,00000-1,4,9,44,15,24,0,0,2,1600,1,1,0,1,{с,2,43,0,0,0,0,0,4305,43026,{с c,999,11,12,999,99,{с cla,999,99,,
1,200711,520870,2007,251110,000-1,72207,00000-1,6,9,40,21,33,0,0,2,2500,1,2,0,1,{с,2,52,0,0,0,0,0,5203,52010,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,29,0,0,8,1200,-1,1,23,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,34,0,0,8,1000,-1,1,22,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,26,0,0,8,800,-1,2,22,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,37,0,0,8,3158,-1,2,19,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,48,0,0,8,1000,-1,1,22,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,280030,2007,251110,000-1,72207,00000-1,6,9,44,21,33,0,0,8,1200,-1,1,22,1,{с,4,28,0,0,0,0,0,2803,28011,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200712,412710,2007,251110,000-1,47890,00000-1,6,9,44,16,31,0,0,2,2535,-1,1,58,1,{с,4,41,0,0,0,0,0,4105,41019,{с c,999,{с cla,99,999,17,6,999,4,,
2,200801,261160,2008,251110,75116,84116,8411600,8,9,44,24,34,0,0,8,1500,-1,1,2,1,{с,6,26,0,0,0,0,0,2605,26017,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200801,292530,2008,251110,91995,94308,9430800,4,9,44,21,35,0,0,8,2902,1,1,0,1,{с,2,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200801,292530,2008,251110,91995,94308,9430800,4,9,44,21,24,0,0,8,861,-1,2,3,1,{с,4,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200801,292530,2008,251110,91995,94308,9430800,4,9,44,21,24,0,0,8,870,-1,2,3,1,{с,4,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200801,351518,2008,251110,73202,72207,7220700,2,9,44,21,33,0,0,2,2200,1,1,0,1,{с,25,35,9999,0,0,9999,0,3507,35030,{с c,4,{с cla,99,20,99,{с cla,30,99,,
2,200801,355240,2008,251110,15849,10945,1094500,7,9,44,13,44,0,0,2,9625,-1,1,14,1,{с,6,35,9999,0,0,9999,0,3507,35032,{с c,4,{с cla,99,15,99,{с cla,9,99,,
2,200802,292530,2008,251110,91995,94308,9430800,4,9,44,21,27,0,0,8,2043,-1,1,20,1,{с,4,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200802,354870,2008,251110,52442,47440,4744002,4,9,44,16,37,0,0,2,740,1,1,0,1,{с,2,35,9999,0,0,9999,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,41,99,,
2,200803,292530,2008,251110,91995,94308,9430800,4,9,44,21,29,0,0,8,2000,-1,1,11,1,{с,4,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200803,330455,2008,251110,91995,94308,9430800,7,9,44,21,32,0,0,8,4160,-1,1,26,1,{с,4,33,0,0,190,0,0,3306,33018,4,999,{с cla,99,999,99,{с cla,999,99,,
1,200803,330455,2008,251110,92525,91023,9102301,4,9,44,21,41,0,0,8,2371,1,2,0,1,{с,2,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
1,200803,410690,2008,251110,74110,69125,6912500,2,9,44,19,17,0,0,2,462,1,1,0,3,{с,1,41,0,0,0,0,0,4110,41037,{с c,999,{с cla,99,999,7,2,999,1,,
2,200803,520140,2008,251110,90000,38211,3821100,1,9,44,14,27,0,0,2,3120,-1,1,10,1,{с,6,52,0,0,0,0,0,5203,52010,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200804,292530,2008,251110,91995,94308,9430800,4,9,44,21,36,0,0,8,4000,-1,2,7,1,{с,6,29,0,0,0,0,0,2907,29032,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200804,330455,2008,251110,91995,94308,9430800,5,9,40,21,32,0,0,2,4160,1,1,0,1,{с,2,33,0,0,370,0,0,3306,33018,2,999,{с cla,99,999,99,{с cla,999,99,,
2,200804,330455,2008,251110,92525,91023,9102301,4,9,44,21,45,0,0,2,2371,-1,1,3,1,{с,6,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
2,200804,351060,2008,251110,74993,82997,8299799,2,9,44,19,30,0,0,2,3000,-1,1,7,1,{с,6,35,9999,0,0,9999,0,3515,35057,{с c,13,{с cla,99,1,99,{с cla,31,99,,
2,200804,354780,2008,251110,15830,10937,1093702,4,9,44,13,34,0,0,2,1712,-1,1,156,1,{с,4,35,9999,0,0,9999,0,3515,35061,{с c,13,{с cla,99,1,99,{с cla,39,99,,
1,200804,420540,2008,251110,74209,71120,7112000,8,9,22,19,51,0,0,9,2490,1,1,0,1,{с,2,42,0,0,0,0,0,4205,42016,{с c,999,{с cla,99,999,99,{с cla,999,99,,
2,200804,420845,2008,251110,52442,47440,4744099,2,9,44,16,30,0,0,8,460,-1,2,14,1,{с,4,42,0,0,0,0,0,4202,42008,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200804,500020,2008,251110,51519,46818,4681805,2,9,44,17,17,0,0,8,452,1,2,0,1,{с,1,50,0,0,0,0,0,5003,50007,{с c,999,{с cla,99,999,99,{с cla,999,99,,
1,200805,330455,2008,251110,92525,91023,9102301,4,9,44,21,32,0,0,2,3576,1,2,0,1,{с,2,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
1,200805,330455,2008,251110,92525,91023,9102301,4,9,44,21,45,0,0,2,6457,1,2,0,1,{с,1,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
1,200805,330455,2008,251110,92525,91023,9102301,4,9,44,21,42,0,0,8,2371,1,1,0,1,{с,2,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
1,200805,330455,2008,251110,92525,91023,9102301,4,9,44,21,28,0,0,8,2371,1,1,0,1,{с,2,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
1,200805,330455,2008,251110,92525,91023,9102301,4,9,44,21,46,0,0,2,6457,1,2,0,1,{с,2,33,0,0,1430,0,0,3306,33018,7,999,{с cla,99,999,99,{с cla,999,99,,
