"Admitidos.Desligados";"Competência.Movimentação";"Município";"Ano.Movimentação";"CBO.94.Ocupação";"CBO.2002.Ocupação";"CNAE.1.0.Classe";"Faixa.Empr.Início.Jan";"Grau.Instrução";"Qtd.Hora.Contrat";"IBGE.Subsetor";"Idade";"Ind.Aprendiz";"Salário.Mensal";"Saldo.Mov";"Sexo";"Tempo.Emprego";"Tipo.Estab";"Tipo.Mov.Desagregado";"UF";"Competência.Declarada";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Distritos.SP";"Regiões.Adm.DF";"Mesorregião";"Microrregião";"Região.Adm.RJ";"Região.Adm.SP";"Região.Corede";"Região.Corede.04";"Região.Gov.SP";"Região.Senac.PR";"Região.Senai.PR";"Região.Senai.SP";"Sub.Região.Senai.PR";"Região.Metro.MTE";"CNAE.2.0.Subclas";"Raça.Cor";"Ind.Portador.Defic";"Tipo.Defic";"Ind.Trab.Parcial";"Ind.Trab.Intermitente"
1;200308;520110;2003;"19245";251110;91995;4;9;40;21;34;9;0;1;2;0;1;2;52;200311;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";5203;52007;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";NA;NA;NA;NA;NA;NA
1;200401;420930;2004;"19245";251110;52329;1;7;44;16;30;9;240;1;1;0;1;2;42;200402;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4203;42010;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";NA;NA;NA;NA;NA;NA
1;200401;420930;2004;"19245";251110;52329;1;7;44;16;19;9;240;1;1;0;1;2;42;200402;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4203;42010;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";NA;NA;NA;NA;NA;NA
2;200407;530010;2004;"19245";251110;52124;6;7;44;16;27;9;0;-1;1;15;1;4;53;200409;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"9999";5301;53001;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";NA;NA;NA;NA;NA;NA
2;200403;354990;2004;"19245";251110;52124;3;5;44;16;34;9;0;-1;1;9;1;4;35;200404;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3513;35050;"{ñ c";11;"{ñ c";99;7;99;"{ñ c";44;99;"{ñ";NA;NA;NA;NA;NA;NA
1;200506;520510;2005;"19245";251110;60267;4;9;44;20;28;0;10;1;2;0;1;2;52;200507;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";5205;52017;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";NA;NA;NA;NA;NA;NA
1;200611;420240;2006;"19245";251110;74128;1;9;44;19;38;0;8;1;1;0;1;2;42;200612;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4204;42012;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";9999999;NA;NA;NA;NA;NA
2;200612;351300;2006;"19245";251110;74993;1;9;40;19;32;0;0;-1;1;10;1;4;35;200702;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35060;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";9999999;2;0;0;NA;NA
2;200709;411370;2007;"19245";251110;74608;4;9;44;21;46;0;8,35;-1;1;18;1;4;41;200710;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";4103;41011;"{ñ c";999;"{ñ c";99;999;12;"  03";999;13;"{ñ";9999999;2;0;0;NA;NA
1;200803;530010;2008;"19245";251110;45217;6;9;44;15;25;0;9,02;1;1;0;1;2;53;200804;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"9999";5301;53001;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";4120400;8;0;0;NA;NA
