"Ano";"UF";"Região";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.94.Ocupação";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Grau.Instrução.2005.1985";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro.SM";"Vl.Remun.Média.Nom";"Vl.Remun.Média.SM";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.CC";"Vl.Rem.Fevereiro.CC";"Vl.Rem.Março.CC";"Vl.Rem.Abril.CC";"Vl.Rem.Maio.CC";"Vl.Rem.Junho.CC";"Vl.Rem.Julho.CC";"Vl.Rem.Agosto.CC";"Vl.Rem.Setembro.CC";"Vl.Rem.Outubro.CC";"Vl.Rem.Novembro.CC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial";"Tipo.Salário";"Vl.Salário.Contratual"
1994;"MG";"SUDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"75116";"0";1;6;4;"07";"06";7;9;NA;30;42;NA;NA;0;"0";NA;313760;10;50;NA;NA;NA;NA;NA;4,6;NA;4,21;NA;2;8;115,9;0;1;"CNPJ";NA;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"000-1";"0";1;5;5;"10";"08";7;9;NA;40;32;NA;NA;0;"0";NA;261160;10;70;NA;NA;NA;NA;NA;10,57;NA;8,73;NA;1;10;101,9;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"000-1";"0";1;5;5;"10";"08";7;9;NA;40;33;NA;NA;0;"0";NA;261160;10;70;NA;NA;NA;NA;NA;11,25;NA;9,76;NA;2;10;107,9;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"000-1";"0";1;5;5;"10";"09";7;9;NA;40;36;NA;NA;0;"0";NA;261160;10;70;NA;NA;NA;NA;NA;12,51;NA;11,02;NA;2;10;109,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"000-1";"0";1;5;5;"10";"09";7;9;NA;40;36;NA;NA;0;"0";NA;261160;10;70;NA;NA;NA;NA;NA;11,25;NA;10,08;NA;2;10;109,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"000-1";"0";1;5;5;"10";"09";7;9;NA;40;34;NA;NA;0;"0";NA;261160;10;70;NA;NA;NA;NA;NA;12,43;NA;10,46;NA;2;10;109,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"RO";"NORTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"75116";"0";1;5;5;"05";"04";4;9;NA;40;39;NA;NA;0;"0";NA;110012;10;80;NA;NA;NA;NA;NA;2,4;NA;2,26;NA;1;10;21;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;"RS";"SUL";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"75116";"0";1;5;4;"06";"05";2;9;NA;24;33;NA;NA;8;"0";NA;432166;10;50;NA;NA;NA;NA;NA;3,79;NA;3,77;NA;1;7;4,6;1;1;"CNPJ";NA;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"AC";"NORTE";"0";NA;NA;NA;NA;NA;71;19245;NA;NA;"75116";"0";0;7;5;"12";"11";8;9;NA;40;51;NA;NA;0;"12";NA;120040;10;1058;NA;NA;NA;NA;NA;113,51;NA;36,35;NA;2;8;366,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"80306";"0";1;5;5;"09";"09";7;9;NA;40;33;NA;NA;0;"0";NA;261160;10;1104;NA;NA;NA;NA;NA;9,06;NA;10,15;NA;1;10;113,9;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
